EC72_Lipidomics_000127_POS_072-152_5 µM nor_24	425.594	3118.493	370.417	0.5	1.03	3484.85	923.959	117.58	77.561	73.585		461.539	3483.748	919.198	163.283	268.433	11637.462	1014.885	734.532	6640.128	3016.886	50.645	1729.268	159.294	33.061	122.028	459.708	1285.139	3833.98	353.176	100.521	311.612	788.778	453.113	15.629	919.198	410.559	836.983	253.85	266.679	778.204	328.587	407.863	113.254	165.843	80.863	102.148	606.113	90.728	66.128	96.981	3.743	73.915	76.976	127.137	6.788	2.848	29.93	0.294	120.25	54.246	3.689	4.746	1.84	0.532	1.266		440.775	33.948	2315.952	384.859	91.501	7.664	7.213	131.063	7.328	76.854	6230.207	15.531	264.221	5.387	13.003	71.575	262.208	48.677	672.669	110.797	61.113	54.062	203.829	579.621	213.302	187.321	48.545	35.804	36.59	45.441	243.63	122.833	677.125	546.087	0.619	3036.343	191.389	21.64	91.373	343.119	2452.302	1625.475	611.799	35.432	71.035	132.752	27.5	10.706	1.628	60.395	49.035	36.661	12.539	90.746	155.632	61.899	13.637	3.179	282.777	133.607	869.879	100.567	3786.555	1913.544	83.271	4246.404	683.134	1704.796	1091.124	987.033	135.839	260.589	95.819	259.393	107.421	493.904	351.032	289.962	116.0	10.672	19.835	76.004	290.068	13.843	1.232	6.587
EC72_Lipidomics_000128_POS_072-137_5 µM nor_4	200.689	6592.771	616.628	1.423	0.488	22708.59	925.413	4090.625	4781.542	181.36	0.052	509.146	22690.223	919.464	1035.802	7630.25	17405.195	1275.066	774.838	29949.184	12830.899	970.478	2300.999	577.258	1714.073	666.794	109.271	7077.296	18590.496	2502.996	5495.949	2531.469	3057.535	1685.416	16.767	930.674	1185.292	1054.577	753.552	2012.677	4860.18	3488.913	787.313	926.975	672.436	1382.627	926.975	3536.301	685.906	288.681	572.004	266.613	462.11	315.494	621.823	180.155	0.865	23.235	22.355	160.873	60.551		2.473	767.683	3.901	1.352	9.505	647.189	122.526	4009.845	595.328	4871.592	158.665	9.154	295.383		557.483	45249.922	26.358	328.586	2.57	3.758	64.525	219.74	80.585	839.665	88.383	78.12	82.79	224.537	995.215	193.37	198.621	73.813	19.936	44.016	33.355	398.645	167.635	792.203	618.556	0.042	1308.222	169.638	27.998	120.335	413.963	2611.949	1780.288	664.798	59.001	95.622	157.56	33.901	19.535	13.994	187.097	23.915	29.646	17.108	60.172	246.441	36.0	35.367	5.052	79.579	147.432	665.389	51.591	3086.869	1533.875	160.462	1877.593	547.004	1480.049	5342.683	5689.853	128.563	268.518	37.785	272.206	419.218	386.1	257.474	213.845			26.49	32.408	144.722	5.908	1.254	3.614
EC72_Lipidomics_000129_POS_072-145_0µM_24	105.707	1525.863	430.865	6.763	0.035	4448.584	920.175	714.294	1055.876	29.137	0.063	520.127	4480.691	911.063	274.185	2411.271	4064.641	318.619	752.512	7180.951	2869.491	318.071	578.582	162.045	422.217	205.016	343.965	1759.828	3805.619	546.101	1240.08	475.153	718.572	366.24	16.113	911.063	401.991	221.506	290.452	438.49	1136.702	775.698	349.047	84.487	100.51	379.533	42.392	718.62	170.03	70.638	157.265	50.377	35.058	106.488	148.366	34.444	1.97	20.796	5.601	55.264	27.27	9.243	2.041		1.008	3.864	9.585	145.33	24.085	925.639	117.92	1085.482	39.343	4.682	130.072	4.725	146.136	8714.836	22.8	396.171	27.232	13.767	3.407	237.906	27.478	510.642	63.562	34.271	17.076	204.685	613.293	168.732	200.311	55.537	30.218	46.078	41.354	191.06	110.157	510.379	510.24	0.712	2268.057	221.463	17.732	86.286	247.426	2334.231	950.566	554.768	32.128	81.672	120.805	26.866	28.203	1.34	48.361	48.126	40.056	8.785	50.882	302.941	53.614	38.216	4.285	306.473	141.935	1092.691	71.522	3918.689	1322.335	83.446	4084.863	773.279	1838.157	1553.033	1451.093	82.281	86.477	91.335	96.553	146.525	456.854	459.501	311.49	169.428	10.483	6.032	47.65	621.881	11.176		5.831
EC72_Lipidomics_000130_POS_072-126_0 µM_0	55.608	1262.88	331.918	0.594		3637.285	823.178	578.872	850.359	39.135	0.32	478.206	3647.722	812.174	129.283	1382.969	2456.379	156.409	463.901	4979.616	1888.993	218.682	344.101	67.265	265.3	116.326	317.353	928.821	2832.266	478.863	787.496	250.395	690.834	275.822	6.639	820.718	264.64	135.861	179.159	201.945	713.27	443.959	365.34	91.312	78.215	225.692	91.312	452.228	104.923	53.533	112.683	62.075	77.371	67.679	101.793	8.833	1.052	20.227	24.958	34.793	9.429	20.066	2.27	125.673	5.407		0.623	99.842	5.877	703.987	74.029	906.867	24.542	3.746	124.296	3.7	52.399	14919.499	6.994	257.894	4.867	16.964	77.942	308.972	35.62	593.08	68.824	40.596	39.841	261.01	507.448	133.581	157.165	51.606	23.261	29.816	51.679	178.913	88.331	419.119	484.255		2823.807	147.328	9.533	59.641	204.722	2029.004	1292.186	538.509	30.407	58.868	87.643	59.69	18.926	2.877	31.822	50.193	31.786	11.641	11.091	198.054	38.89	25.0	1.663	198.227	71.974	554.508	87.49	2929.649	589.743	160.278	1945.832	594.735	1295.739	1012.51	994.814	44.168	81.694	95.145	57.679	104.712	9.761	345.632	235.572	109.85	28.176	1.412	37.657	394.116	9.998	6.061	5.18
EC72_Lipidomics_000131_POS_072-158_TNFa_24	129.272	1909.365	389.677	0.829		3194.664	1395.956	653.376	1131.449	79.819		475.184	3193.712	1383.387	345.987	3374.831	4843.861	331.656	988.647	9100.584	3376.535	466.777	713.012	190.389	471.584	182.706	562.185	1556.991	5018.594	186.418	1660.275	554.794	993.489	441.28	33.203	1383.387	494.168	228.865	342.45	497.42	1241.889	904.595	522.343	126.062	146.145	442.143	126.062	804.42	140.181	116.829	106.491	33.428	85.584	45.92	142.721	3.834		23.464	3.259	36.579	29.165	6.57	3.696		0.737		4.439	150.022	1.568	1039.07	151.674	13.234	41.07	4.559	119.979	4.424	105.757	3132.207	48.211	504.376	12.529	13.964	62.972	236.668	47.718	502.525	127.059	59.579	42.31	196.554	515.078	231.175	247.012	60.555	25.171	35.158	38.465	264.723	144.373	723.781	565.126	0.439	2899.964	197.016	21.981	139.473	342.304	2119.512	1562.505	663.538	45.089	101.447	124.006	109.514	27.37	11.427	99.209	21.006	35.399	16.633	123.505	194.488	32.195	24.643	2.319	284.065	159.029	1037.6	92.589	3646.078	1931.992	86.982	3966.428	742.561	1732.566	734.025	695.875	79.226	142.017	173.317	69.478	122.783	498.724	559.809	578.318	232.164	17.515	0.904	103.738	787.777	7.651	2.393	16.787
EC72_Lipidomics_000132_POS_072-143_TNFa_4	126.029	1619.376	454.125	1.681	0.244	4752.689	751.424	871.096	1196.561	55.247		521.921	4796.032	744.874	247.421	1870.33	1741.392	326.503	702.978	6860.623	2575.389	288.723	276.554	146.779	412.181	152.38	437.84	1321.207	4050.066	572.382	1515.653	511.997	775.857	347.188	13.45	746.826	344.037	84.726	167.068	453.799	1134.213	896.043	444.691	115.701	135.219	372.13	71.521	786.064	165.155	90.798	187.068	62.763	167.75	130.215	152.298	10.704	4.336	33.395	2.582	60.512	29.599	20.594	22.166	4.031	5.924	0.58	0.47	132.317	26.927	807.975	151.615	1222.878	32.82	8.816	83.029		109.323	8689.617	28.353	379.814	4.526	21.471	78.167	245.85	35.036	500.275	51.067	34.747	31.145	218.036	582.387	183.212	221.294	53.95	22.963	31.302	33.872	232.621	230.159	642.393	608.134	0.201	3839.2	203.68	14.79	124.175	302.294	2837.191	1766.671	779.072	39.92	90.704	113.525	51.101	29.819	2.081	19.061	47.53	62.783	22.076	57.904	248.446	26.962	27.489	7.122	153.865	62.726	1001.869	133.597	3439.446	1957.056	141.589	3131.671	784.086	1726.095	1342.113	1283.203	80.339	23.284	15.676	75.705	42.869	193.062	12.068	120.035		20.56	3.208	13.338	12.309	6.098	4.791	4.702
EC72_Lipidomics_000133_POS_072-140_5 µM epi:nor_4	96.205	1609.217	462.38	0.859		3691.381	1016.155	626.165	882.063	60.13	0.035	507.169	3684.945	1011.785	217.715	1602.067	2035.183	282.175	657.02	6102.025	2184.479	237.989	329.992	108.373	377.255	157.886	369.401	1198.428	3568.249	370.419	1177.543	406.902	657.964	286.086	35.042	1020.196	361.66	134.859	251.409	408.672	1051.263	746.899	344.015	109.414	100.587	329.904	94.697	681.476	145.498	79.226	174.887	48.907	137.472	100.98	135.018	7.191		20.029	35.96	37.902	17.64	13.529	8.063	16.139	5.58	1.914	0.299	123.155	18.694	601.721	110.159	904.679	19.897	6.808	55.901	4.012	142.824	8500.146	23.169	331.939	7.607	17.814	58.055	245.907	35.143	645.475	95.514	42.339	38.718	193.555	544.355	182.792	235.946	60.117	37.866	40.463	38.423	228.155	146.109	764.078	593.27	0.444	2653.662	210.273	21.305	102.098	334.969	2946.825	1793.32	723.461	48.318	99.139	162.722	39.198	22.182	9.467	36.367	49.306	53.679	23.298	41.366	281.056	46.514	26.737	7.003	266.564	135.557	963.318	63.934	3776.712	1734.424	79.234	3932.651	673.98	1724.91	1002.736	972.393	66.072	35.743	42.594	101.443	93.013	566.537	303.995	106.606	192.396	9.426	1.23	33.98	689.188	3.299	1.302	4.716
EC72_Lipidomics_000134_Solvent			53.421	1.835	0.427	1.294	1.261	1.889	0.681	0.359		160.301	0.738	1.716			0.755	1.243		1.045	0.283	1.334	6.519	1.534	14.58	0.3		1.067	0.544	0.892	0.49	0.297	1.18	0.733	0.28		0.801	0.15	0.705	0.615				0.682			0.994	2.021	7.112	2.352		0.42			0.219	1.617	2.385	2.262	0.377	1.964		0.453	0.672	1.652	2.633	0.335	1.796		0.606	1.311	0.562	0.626	0.28		0.877	0.247	0.256	2346.045	2.699	1.142	11.913	0.847	68.546	202.969	23.596	261.012	58.635	21.534	22.712	93.998	204.645	35.886	19.961	12.919		7.341	11.905	97.35	7.005	0.985	9.48	0.298	3.402	1.565	3.614	9.176	7.919	15.237		1.829	5.137	1.04	0.747	7.582	3.302	0.392	1.902	0.314	0.191	0.64	0.462	1.761	1.149	0.892	2.28	1.183	10.505		7.086	0.793	0.924		0.431		3.698	0.703	1.901	0.85		74.344	1.387	2.884	4.016	28.519	75.244	5.761	2.44	1.148	6.89	4.343	1.739	4.361	5.94
EC72_Lipidomics_000135_Pool	99.806	1182.24	502.07	112.08	1.615	2350.247	1116.117	654.267	874.714	50.76	17.196	345.555	2377.663	1108.71	179.661	1593.362	1246.923	214.337	480.277	4338.877	1517.047	202.3	131.833	48.585	258.377	140.415	257.9	700.899	2270.474	167.243	758.852	313.385	370.24	126.205	5.405	1113.476	198.528	62.369	127.473	141.601	645.998	472.466	216.929	86.255	72.284	226.503	71.265	405.925	89.303	40.566	82.393	24.589	87.438	63.054	84.937	4.155		29.737	13.244	31.693	37.237	2.335	1.813	52.694	1.661	1.624	1.056	111.989	15.519	564.815	79.258	911.686	1.505	4.095	49.869	12.74	30.978	14483.863	8.76	224.695	17.076	23.098	58.209	222.595	40.85	377.921	53.358	42.208	35.594	163.726	360.626	114.454	147.977	49.553	25.936	23.09	32.236	161.296	92.429	399.867	498.957		2752.743	153.705	16.17	32.34	215.733	1990.465	1410.237	535.679	26.089	69.005	101.501	28.699	17.264	2.199	50.214	26.653	28.723	7.881	24.803	163.544	18.752	13.174	3.581	186.394	85.849	480.576	45.985	2686.52	809.836	128.74	1209.57	528.498	1255.228	533.154	510.9	43.056	14.708	115.918	63.914	96.187	417.633	402.205	339.034	175.946	1.424	2.735	35.576	579.844	0.506	0.547	6.965
EC72_Lipidomics_000136_Solvent			52.83		0.232		0.194	2.221	0.976	0.989	0.545	178.919		0.834	9.066	1.184	1.308	5.069	0.499	1.627	1.521	0.533	5.808	0.68	4.977	0.931			0.449	0.5	0.528		0.254	0.33	0.988	2.72	4.914	0.017	1.075	1.235		0.12	0.6	0.119			0.083	0.981	7.567	2.175	0.449				0.035	0.602	6.521	0.575	2.166		1.974	1.144	1.134	1.133	0.628	4.304	0.269	0.639		1.282	3.026	1.147	0.037			0.319	0.109	1434.747	1.895	0.751	20.625	1.928	97.607	173.562	31.882	227.405	18.3	23.827	0.751	89.048	207.565	29.081	10.02	18.827	1.837	15.563	13.028	64.437	9.249	26.837	2.208		0.472	2.065		0.094	5.656	13.072		1.209		2.216	2.647	10.982	1.92	0.53	1.152		0.036	0.331	0.577		0.32	0.333	0.822	0.904	4.339		2.593	0.399	2.019	0.887	0.105		5.258		1.508		1.59	35.667	0.987	9.761	3.709	16.421	11.16	9.147	14.017		2.111	9.423	5.623	0.621	
EC72_Lipidomics_000137_POS_072-127_0 µM_0	59.644	1061.08	378.729	3.162	0.313	3805.238	1017.035	613.185	712.843	10.972	0.348	449.62	3804.856	1005.768	102.828	1141.51	1177.348	118.213	349.138	3801.295	1072.194	169.545	146.589	65.701	212.052	78.726	211.719	698.793	2117.053	497.935	560.275	145.486	517.519	43.206	7.114	1011.706	157.019	61.11	105.616	128.949	543.916	286.391	247.03	37.593	54.061	168.689	37.593	348.387	97.877	39.873	68.976	19.969	69.997	76.266	64.495	4.299	1.087	9.221	22.031	24.426	7.536	2.109	1.748	123.367	8.84	3.421		52.956	17.6	377.327	47.847	754.347	20.832	3.057	23.952		57.893	13127.043	9.835	157.87	17.896	6.574	84.856	253.979	38.846	480.847	69.61	61.847	63.571	211.629	443.308	138.566	159.682	64.356	17.18	38.053	33.283	286.173	78.055	441.691	480.805	0.142	999.759	164.511	12.795	73.918	198.04	1956.976	1382.873	545.898	40.878	59.209	109.38	31.632	9.041	6.432	17.616	20.424	20.317	9.272	28.319	219.246	28.82	20.822	3.629	179.544	107.935	639.012	127.354	1410.323	990.541	53.299	2890.233	458.942	684.313	950.282	925.411	51.608	15.104	73.054	70.179	21.639	467.974	438.249	282.588	149.01	7.374	3.558	43.195	495.188	13.275	1.447	3.708
EC72_Lipidomics_000138_POS_072-147_5 µM epi_24	126.713	1898.794	434.408	0.24	0.978	5534.778	1830.376	512.466	1349.678	78.251	0.711	472.693	5582.48	1825.174	318.778	2009.744	4859.594	541.331	877.529	8775.336	3487.584	373.029	768.126	218.803	365.444	156.938	403.42	2098.258	4765.491	618.648	1326.11	538.327	974.407	488.069	14.014	1833.201	506.79	232.97	333.648	571.943	1111.365	802.361	463.457	194.998	107.881	363.339	194.998	766.408	81.312	104.228	84.731	61.088	95.828	101.15	126.149	14.124		43.329	6.418	57.026	27.558	8.915	1.827	1.429		4.785	10.221	178.021	36.739	1215.358	159.104	1355.903	38.389	3.761	210.752	1.577	112.338	7967.265	49.814	460.133	5.109	5.991	64.827	252.285	63.941	501.348	118.85	56.92	35.939	178.04	483.13	185.122	199.41	56.431	22.788	33.873	38.53	169.137	236.652	622.432	552.763	0.764	1046.005	143.847	7.318	90.111	322.931	2136.131	1575.204	634.781	36.635	90.527	117.754	76.954	10.591	1.894	61.696	41.566	15.634	13.796	109.992	263.379	85.611	26.814	3.836	267.981	142.455	1144.327	90.853	3408.577	1833.988	88.67	4227.92	798.403	1709.641	1252.934	1193.074	79.874	121.345	96.062	96.443	131.286	109.987	164.823	397.375	41.329	4.786	10.683	94.006	85.787	14.409	0.768	4.738
EC72_Lipidomics_000139_POS_072-149_5 µM epi_24	75.402	1843.813	568.875	6.948	0.602	4778.069	1352.792	858.652	1157.916	90.404	0.078	657.742	4782.064	1338.803	442.259	2704.426	4698.063	575.673	805.28	7518.01	3721.969	345.842	725.814	164.402	560.814	192.259	208.522	2359.305	3979.086	585.589	1748.211	624.037	632.905	485.438	31.71	1352.556	468.5	227.202	394.828	558.188	1273.233	794.199	306.67	220.879	113.885	329.301	179.149	1012.119	181.769	119.819	167.857	61.439	151.788	126.988	103.625	34.074	2.338	29.856	4.621	46.646	28.224	0.123	3.324	6.73	1.02	0.648	1.693	130.444	38.63	1130.378	138.024	1212.977	35.622	10.668	164.459	2.24	108.2	8845.024	25.513	403.928	29.863	8.154	74.881	230.922	83.038	499.366	194.625	102.285	99.093	143.764	639.346	221.223	267.519	84.666	26.678	45.204	66.073	374.746	231.169	771.583	594.543	0.149	769.057	169.786	22.811	142.796	403.884	3000.08	1868.877	707.437	59.453	140.06	168.472	23.244	7.909	1.513	47.22	33.059	25.892	12.496	84.152	328.555	82.163	38.349		356.226	146.222	1172.075	199.925	2551.24	1384.102	97.063	4724.0	855.039	1244.128	1723.422	1570.002	95.759	71.734	39.587	117.161	141.989	473.693	374.501	247.813	211.967	0.17	20.323	45.6	735.505	13.015	4.208	2.311
EC72_Lipidomics_000140_POS_072-141_TNFa_4	98.132	1157.813	588.28	0.534	0.285	3508.089	1425.252	447.497	938.09	14.912		614.998	3530.069	1409.249	168.025	970.305	1737.377	229.78	576.061	5244.307	1717.577	193.493	277.069	116.691	214.759	108.938	348.402	811.188	3062.563	300.053	869.236	295.971	625.16	210.121	18.195	1409.249	168.06	129.186	153.006	203.42	705.915	539.837	325.621	101.846	87.691	233.672	73.574	539.604	71.168	41.899	93.864	62.878	51.206	67.435	108.674	3.957		12.337	3.135	33.012	15.263	15.703	8.173	2.02	4.182		1.359	104.178	17.082	492.239	118.361	948.186	11.462	3.562	37.853	1.745	102.409	4993.921	19.873	277.058	10.63	18.492	72.893	240.667	75.858	633.469	102.324	48.066	45.717	256.55	722.525	162.454	246.951	69.668	38.416	36.424	39.253	266.392		806.194	639.97		3366.215	229.675	17.461	153.667	353.919	3011.363	1765.439	768.016	37.913	12.585	170.309	68.433	16.602	11.099	14.685	80.505	84.418	28.5	41.43	447.921	36.57	56.208	5.76	260.694	147.172	621.731	77.989	3890.761	1827.197	178.219	2108.352	628.476	1717.162	849.781	873.991	52.97	15.797	140.061	95.212	105.737	408.104	81.971	591.421	22.222	55.75	27.632	89.713	155.986	16.821	12.283	11.634
EC72_Lipidomics_000141_POS_072-135_5 µM nor_4	84.942	1434.175	399.592	7.255	1.443	4028.058	566.949	854.395	1064.142	32.485	0.361	570.113	4021.402	574.375	66.267	1563.645	2803.26	215.621	441.825	4622.296	2212.332	227.099	345.201	102.027	361.685	151.605	201.473	1009.105	2615.281	466.548	1034.718	477.499	439.155	309.657	19.387	591.746	276.468	184.05	177.431	287.429	877.731	637.932	238.381	140.277	77.172	275.774	116.751	562.165	117.063	52.486	135.029	100.955	114.769	79.962	105.338	9.297		4.307	41.694	14.113	6.262	3.208	15.901	115.388	0.705	0.633	2.847	115.494	10.092	541.398	69.18	1096.544	29.286	2.323	16.219	7.598	5.133	11492.572	10.055	276.628	8.122	14.701	83.556	301.095	52.972	675.456	64.581	42.001	44.355	300.946	645.63	210.408	181.685	45.816	30.896	36.141	58.566	271.736	128.746	632.131	537.796		3858.616	184.648	8.155	99.443	335.616	2285.2	1646.697	611.266	42.504	111.337	122.962	56.655	13.638	4.12	22.281	78.206	45.44	3.894	50.057	247.518	39.977	29.585	0.802	259.126	85.74	797.855	91.325	3757.072	1981.3	178.217	2065.238	764.271	1890.168	1305.437	1253.705	57.338	70.292	149.392	101.725	153.27	433.849	509.099	311.467	191.054	20.248	4.26	68.353	616.122	10.387	5.239	9.891
EC72_Lipidomics_000142_Solvent			42.641	3.623		0.713		0.377	0.284		0.561	158.383	2.639	0.437	2.6		2.479	2.396	0.792	1.007		0.555	0.991		1.309	0.267			0.647	0.393	0.838	1.463	0.218	0.979		1.288		0.006	1.02	1.456		0.734		0.276			0.15	3.197	6.441	0.577	0.574				0.409	1.46	4.36	1.734	1.649	3.911	1.739	2.087	3.256	0.925	0.51	4.65	0.288	0.708	1.002	0.967	0.488	0.794	0.314	0.694	5.144	0.548	0.572	2087.015	1.184	1.572	19.906		97.403	257.657	41.848	348.298	36.709	39.151	16.311	96.535	214.072	59.403	38.771	14.635	0.456	19.57	15.278	49.784	11.905	57.286	5.243	0.556	1.597	1.8	6.844	5.957	12.183	18.729		1.509	2.741	0.205	1.779	10.067	2.15	0.947	1.014	0.374		0.059	3.174		1.097	2.589	5.169		22.29		6.794	1.777			2.821		0.673	0.251	0.309	0.783	3.784	21.468		5.478	10.213	9.565	10.017	3.795	8.358	1.029	0.947	7.579	0.519	2.485	1.666
EC72_Lipidomics_000143_Pool	92.157	1689.364	466.503	106.645		3188.806	1098.122	683.538	881.077	41.106	0.589	351.609	3203.839	1097.772	160.911	1598.324	2674.06	226.996	534.455	4876.052	1869.246	203.445	366.146	101.595	293.563	111.11	267.435	840.226	2562.325	345.765	840.738	339.206	541.766	238.82	19.156	1097.772	217.073	170.281	142.811	276.814	746.48	538.961	250.002	90.447	87.04	223.416	68.779	434.593	86.982	51.077	112.855	35.146	110.425	59.019	98.857	2.806		15.958	20.29	31.577	27.302	3.282		12.78	2.185	6.942	4.193	96.888	12.379	577.997	86.014	887.348	23.12	1.548	54.473	0.167	59.077	28581.512	15.7	192.863	11.014	2.981	60.583	188.316	45.497	489.918	64.751	55.019	37.716	109.798	379.885	138.831	151.694	49.109	11.045	28.024	30.755	152.986	85.618	468.389	516.227	0.058	528.77	143.318	13.806	65.469	201.797	1979.974	1400.899	521.346	32.866	47.495	103.965	38.562	7.383	2.001	73.069	44.864	16.445	9.028	9.602	177.074	32.862	4.588	0.451	178.814	72.229	634.559	55.628	2671.114	626.909	63.021	3116.594	449.114	1109.07	821.167	811.472	50.208	91.313	26.873	50.722	93.363	193.432		4.908	5.024	3.107	6.652	1.275	10.745	3.471	4.635	1.715
EC72_Lipidomics_000144_Solvent			55.059	0.919		1.836	0.435	2.762	0.331	0.684	0.17	229.375	0.722	0.67	0.714	0.513		0.793	0.542	2.757	0.743	1.155	0.279	1.077	1.213	0.712	9.381		0.269	0.474	0.961	0.205	1.218	0.514	1.56	0.67	1.445	0.065	0.335	1.13		0.695		0.897				2.764	1.064	2.501	1.3	0.303			0.26	0.954	1.888	0.777	1.199	1.437	0.768		3.935	0.826	2.651	0.529	0.144		0.445	0.596	0.757	0.938	1.45	0.602		2.103	0.579	2760.996	0.213	0.431	6.834	0.723	58.315	179.99	24.831	284.423	29.284	37.856	36.594	122.955	239.752	54.242	25.449	13.151	1.818	14.725	14.435	43.51	16.352	17.839	2.914		1.902		4.128	0.515	13.067	22.038		0.153	2.595	3.97	1.679	11.782	1.103	0.875	0.799		0.258	0.845	1.609	1.82	0.26	3.831	0.458	1.959	18.244		0.949	0.801			2.68		5.777	1.152		0.797		15.25	0.863	8.49		168.68	14.685	11.039	4.465	0.75	1.024	8.0	1.164	2.501	8.009
